ao_type,title,description,cluster
supplies,Traiteur,Services de traiteurs chauds et froids à destination de la mairie,1
supplies,Pains et vienoiseries,"Fourniture de pains, viennoiseries et assimilés",6
supplies,Boissons,"Fourniture de boissons, vins et spiritueux",6
services,Activ Créa Emergence Corse du sud,"1/ Niveau minimum de capacité financière : 210 000 ? 2/ Lieux d'intervention obligatoires : Ajaccio, Porto-Vecchio, Propriano 3/ Prix plafond : 780 ? 4/ Nombre maximum de bénéficiaires à prendre en charge : 1040 5/ Nombre annuel d'heures de travail à réaliser au titre de l'engagement d'insertion professionnelle : 115",2
services,Activ Crea Emergence Haute Corse,"1/ Niveau minimum de capacité financière : 260 000 ? 2/ Lieux d'intervention obligatoires : Bastia, Ghisonaccia, Corte, Ile-Rousse 3/ Prix plafond : 820 ? 4/ Nombre maximum de bénéficiaires à prendre en charge : 1220 5/ Nombre annuel d'heures de travail à réaliser au titre de l'engagement d'insertion professionnelle : 135",2
services,Etude de caractérisations des déchets ménagers et assimilés,"Etude de caractérisations des déchets ménagers et assimilés Consultation lancée par un groupement de commandes. L'accord-cadre sera exécuté par l'émission de bons de commande. Les prestations sont réglées par des prix unitaires. La valeur estimée correspond au total des montants maximums sur la durée maximale du contrat. Chaque montant maximum est inscrit dans l'acte d'engagement, par membre du groupement et par période",2
supplies,Fourniture et mise en œuvre d’un SIRH Système d’Information Ressources Humaines,"Les prestations concernent la fourniture et la mise à disposition d’un logiciel SIRH Système d’Information Ressources Humaines, en mode SAAS. L’Aéroport de Bâle-Mulhouse est un établissement public binational franco-suisse régi par une convention de 1949 signée entre la France et la Suisse. L’effectif de l’aéroport, soit près de 400 personnes, est réparti entre « Aéroport de Bâle-Mulhouse », immatriculé en France à la chambre de commerce de Mulhouse et « Flughafen Basel-Mulhouse » immatriculé en Suisse. Ce logiciel SIRH, qui couvrira les domaines du recrutement, de l’administration du personnel et de la gestion des talents, devra être multi-sociétés, multi-établissements et multidevises, et pouvoir s’interfacer avec les systèmes actuellement utilisés pour la gestion de la paie et la gestion des temps et des absences. Un descriptif de l’ensemble des prestations attendues est disponible sur le profil d’acheteur https://www.marches-securises.fr/ Démarrage prévisionnel : 01/09/2025",1
services,AGENCE DE COMMUNICATION GLOBALE 360° AU BENEFICE DE L'ETABLISSEMENT FRANÇAIS DU SANG (EFS),"La présente consultation a pour objet l'identification d'une agence ou d'un groupement d'agences en charge de la communication globale de l'Etablissement Français du Sang (EFS). La présente consultation recouvre les enjeux principaux suivants : - Développer le don de plasma - Recrutement et fidélisation de nouveaux donneurs jeunes - Recrutement de personnels médicotechniques/attractivité employeur - Développer et améliorer l'expérience donneur - Accroitre la visibilité des maisons du don et augmenter le volume de don dans les sites de collecte Le marché a pour objet d'identifier une agence de communication ou un groupement d'agences en charge de la communication globale de l'EFS à destination de toutes les cibles et sur tous les types d'expression et de prises de parole : stratégie, création, déploiement des actions de communication, de campagne d'activations, marketing relationnel et digital, stratégie et contenu digital et mobile, contenus éditoriaux, branding, dispositifs événementiels structurants en lien direct avec les actions de communication marque donneurs, production d'outils de communication divers.",1
services,Filières de gestion des sédiments non inertes fins,Filières de gestion des sédiments non inertes fins,6
services,Filières de gestion des sédiments non inertes grossiers,Filières de gestion des sédiments non inertes grossiers,6
services,Filières de gestion des sédiments inertes,Filières de gestion des sédiments inertes,6
services,Inspections détaillées périodiques,Inspections détaillées périodiques &amp;lt;br/&amp;gt;,5
services,Auscultation et instrumentation,Auscultation et instrumentation &amp;lt;br/&amp;gt;,3
services,Etudes et missions de maitrise d'oeuvre,Etudes et missions de maitrise d'oeuvre&amp;lt;br/&amp;gt;,6
services,Mission d'assistance à la maîtrise d'œuvre structure - Phase Esquisse pour l'opération des constructions des nouvelles installations des Forces Aériennes de Gendarmerie Nationale d'Île-de-France sur la BA107 de Villacoublay (78),Mission d'assistance à la maîtrise d'œuvre structure - Phase Esquisse pour l'opération des constructions des nouvelles installations des Forces Aériennes de Gendarmerie Nationale d'Île-de-France sur la BA107 de Villacoublay (78),5
services,Prestations d'étude et d'assistance pour la finalisation du schéma directeur immobilier du site hospitalier aixois du Centre Hospitalier Métropole Savoie et pour la réalisation et la mise en oeuvre du programme technique détaillé de reconstruction des EHPAD/USLD,Prestations d'étude et d'assistance pour la finalisation du schéma directeur immobilier du site hospitalier aixois du Centre Hospitalier Métropole Savoie et pour la réalisation et la mise en oeuvre du programme technique détaillé de reconstruction des EHPAD/USLD,1
services,Séjour Saint-Pierre et Miquelon,Séjour Saint-Pierre et Miquelon,6
works,Lot n°1 - Secteur géographique des Yvelines,"Lot géographique : CD 78 Estimations annuelles des postes : -G1 - G2 - G3 : mini de 10 000 euro(s) HT, maxi de 500 000 euro(s) HT -G4 : sans mini, maxi de 1 500 000 euro(s) HT",2
works,Lot n°2 - Secteur géographique des Hauts-de-Seine,"Lot géographique : CD 92 Estimations annuelles des postes : -G1 - G2 - G3 : mini de 10 000 euro(s) HT, maxi de 500 000 euro(s) HT -G4 : sans mini, maxi de 2 000 000 euro(s) HT",2
supplies,"Fourniture de pièces détachées pour véhicules légers et utilitaires légers des marques CITROËN, PEUGEOT, FIAT et OPEL","Fourniture de pièces détachées pour véhicules légers et utilitaires légers des marques CITROËN, PEUGEOT, FIAT et OPEL",6
supplies,Fourniture de pièces détachées pour véhicules poids-lourds de marque DENNIS EAGLE,Fourniture de pièces détachées pour véhicules poids-lourds de marque DENNIS EAGLE,6
supplies,Fourniture de pièces détachées pour véhicules utilitaires légers de marque GOUPIL,Fourniture de pièces détachées pour véhicules utilitaires légers de marque GOUPIL,6
supplies,Fourniture de pièces détachées pour véhicules utilitaires légers et poids-lourds de marque MERCEDES,Fourniture de pièces détachées pour véhicules utilitaires légers et poids-lourds de marque MERCEDES,6
supplies,Fourniture de pièces détachées pour véhicules poids-lourds de marque SCANIA,Fourniture de pièces détachées pour véhicules poids-lourds de marque SCANIA,6
supplies,Fourniture de pièces détachées pour véhicules légers de marque VOLKSWAGEN et SKODA,Fourniture de pièces détachées pour véhicules légers de marque VOLKSWAGEN et SKODA,6
services,"Maintenance et mise en conformité des ascenseurs, monte-charges et tables élévatrices","Ce lot a pour objet les prestations de maintenance et de mise en conformité des ascenseurs, monte-charges et tables élévatrices présents sur la zone nord de l'IRSN, constituée des sites de Fontenay-aux-Roses, du Vésinet et d'Orsay. Montant maximum en valeur : 400 000 Euros HT",5
services,Maintenance et mise en conformité des systèmes de fermetures manuels et automatiques,"Ce lot a pour objet les prestations de maintenance et de mise en conformité des systèmes de fermetures manuels et automatiques présents sur la zone nord de l'IRSN, constituée des sites de Fontenay-aux-Roses, du Vésinet et d'Orsay. Montat maximum en valeur: 400 000 Euros HT",5
services,Maintenance et mis en conformité des systèmes de levage,"Ce lot a pour objet les prestations de maintenance et de mise en conformité des systèmes de levage présents sur la zone nord de l'IRSN, constituée des sites de Fontenay-aux-Roses, du Vésinet et d'Orsay. Montant maximum en valeur 100 000 Euros HT",5
services,ENLEVEMENT ET TRAITEMENT DES DECHETS DIFFUS SPECIFIQUES,"La présente consultation concerne la mise à disposition de contenants, l'enlèvement et le traitement des déchets diffus spécifiques (DDS), hors champ Eco DDS, issus des déchetteries de la Communauté de Communes du Ternois qui réceptionnent les déchets diffus spécifiques des ménages et des professionnels.",1
services,Lot n°1 : Formation permis poids lourds ; FIMO ; FCO (Super/Poids Lourds) (Remorque),Formation permis poids lourds ; FIMO ; FCO (Permis C - PL- SPL (Super/Poids Lourds) / Permis EB (Remorque) / FIMO (Formation initiale Minimale obligatoire),0
services,Lot n°3 : Formation travail en hauteur (travail en hauteur avec port du harnais et Intervention en sécurité dans les espaces confinés),travail en hauteur avec port du harnais et Intervention en sécurité dans les espaces confinés,5
services,Lot 04 Formation amiante sous catégorie 4,Le dispositif de formation concerne les agents amenés à réaliser des activités relevant de la sous-section 4. Les travailleurs bénéficiaires d'une formation sont identifiés comme appartenant à l'une des quatre catégories de publics suivants : l'opérateur de chantier ainsi que le travailleur cumulant tout ou partie de ces fonctions.,1
services,Lot n°5 : Formation incendie,Le présent cahier des clauses techniques particulières définit les modalités pour les préparations théoriques et pratiques jusqu'à l'obtention de l'attestation de l'utilisation d'extincteur et d'assurer la mise en sécurité incendie dans les établissements recevant du public (ERP) dans le respect du cadre règlementaire de catégorie 3. La formation incendie est double.,1
services,Lot 6 Formation secourisme,"LLe présent cahier des clauses techniques particulières définit les modalités pour les préparations théoriques et pratiques jusqu'à l'obtention de l'attestation Sauveteur Secouriste au travail. Tout employeur a l'obligation de mettre en oeuvre dans son établissement des moyens de secours adaptés dans l'objectif de prendre en charge le plus rapidement possible un collaborateur qui serait victime d'un accident du travail. La formation SST devra permettre au stagiaire d'acquérir les connaissances et les savoir-faire nécessaires afin de porter secours à toute victime d'un accident du travail et de participer à la prévention des risques professionnels dans l'établissement. Formation « Sauveteur Secouriste de Travail » Le sauveteur secouriste du travail est capable d'intervenir efficacement face à une situation d'accident, et, en matière de prévention, de mettre en application à ses compétences au profit de la santé et sécurité au travail, dans le respect de l'organisation de l'entreprise et des procédures spécifiques fixées.",1
services,Lot N°7 : Formation habilitation électrique,"Le présent cahier des clauses techniques particulières définit les modalités pour les préparations théoriques et pratiques jusqu'à l'obtention de l'attestation de réussite pour les diverses habilitations interventions sur des installations électriques ►Habilitation Électrique Basse Tension B1v-B2v-BC-BR-BE (Mesure, Vérification, Essai) + H0v ► Recyclage Habilitation Électrique Basse Tension B1v-B2v-BC-BR-BE (Mesure, Vérification, Essai) + H0v",1
services,Lot n°8 Gestion des conflits,"Le présent cahier des clauses techniques particulières définit les modalités pour les préparations théoriques et pratiques jusqu'à l'obtention de l'attestation Gestion des conflits Cette formation contribue à améliorer la dynamique de travail des agents d'accueil. Réfléchir collectivement aux situations de conflits favorise l'identification de bonnes pratiques consensuelles. In fine, l'application de ces principes concourt à désamorcer toute situation de tension et à assurer un accueil de qualité.",1
supplies,FOURNITURE DE TITRES RESTAURANT POUR LES AGENTS DU SERVICE DEPARTEMENTAL D'INCENDIE ET DE SECOURS DES BOUCHES-DU-RHONE,se référer aux documents de consultation,1
supplies,Achat d'enveloppes et de sachets pour les services du Département du Tarn,"Le présent marché a pour objet la fourniture et la livraison d'enveloppes et de pochettes pour le compte du Conseil Départemental du Tarn. Ces enveloppes et pochettes sont utilisées dans le cadre d'envoi de courriers internes et externes par les divers services du Conseil Départemental du Tarn. Ces enveloppes et pochettes devront faire l'objet d'une impression off set en deux couleurs, soit une couleur, notamment pour le logo du Département du Tarn",6
supplies,"Fournitures, installation et maintenance d'un système de contrôle d'accès pour les déchetteries","Fournitures, installation et maintenance d'un système de contrôle d'accès pour les déchetteries",5
works,CHARPENTE - SERRURERIE - COUVERTURE - ÉTANCHÉITÉ - BARDAGE,CHARPENTE - SERRURERIE - COUVERTURE - ÉTANCHÉITÉ - BARDAGE,6
works,INSTALLATION FRIGORIFIQUE - MENUISERIE - ÉQUIPEMENT DE QUAI,INSTALLATION FRIGORIFIQUE - MENUISERIE - ÉQUIPEMENT DE QUAI,6
works,REVåTEMENT DE SOLS DURS - SOLS SOUPLES,REVËTEMENT DE SOLS DURS - SOLS SOUPLES,6
works,FROID - VENTILATION INDUSTRIELLE - VENTILATION TERTIAIRE,FROID - VENTILATION INDUSTRIELLE - VENTILATION TERTIAIRE,0
services,"Mission d'AMO pour la programmation architecturale, fonctionnelle et technique du projet de déconstruction, reconstruction et rénovation du bâtiment principal du Centre Hospitalier de Wasquehal",Le contrat comporte des tranches optionnelles définies au cahier des charges. Les prestations sont réglées par des prix forfaitaires,2
services,"Mise à disposition et la maintenance de machines à laver, sèche-linges et produit lessiviel au profit des entités militaires du GSC de Rochefort-Cognac (dept 16 et 17)","Mise à disposition et la maintenance de machines à laver, sèche-linges et produit lessiviel au profit des entités militaires du GSC de Rochefort-Cognac (dept 16 et 17)",5
services,Séjours national (hors Corse et Grand Est),Séjours national (hors Corse et Grand Est),6
services,Séjours en Corse et à l'étranger,Séjours en Corse et à l'étranger,6
services,Réalisation de fouilles archéologiques pour la pose de conteneurs enterrés pour la collecte des déchets,"La procédure de passation utilisée est l'appel d'offres ouvert. Elle est soumise aux dispositions des articles L. 2124-2, R. 2124-2 1° et R. 2161-2 à R. 2161-5 du Code de la commande publique. L'accord-cadre sans minimum et avec maximum est passé en application des articles L2125-1 1°, R. 2162-1 à R. 2162-6, R. 2162-13 et R. 2162-14 du Code de la commande publique. Il donnera lieu à l'émission de bons de commande. Il n'est pas prévu de décomposition en lots. Les prestations sont réglées par des prix unitaires. Le présent marché de de fouilles archéologiques vise à déployer sur chaque chantier de pose de conteneur enterré le personnel technique et scientifique requis pour répondre aux prescriptions de fouilles émises par le service régional de l'archéologie (SRA). L'accord-cadre est conclu pour une période initiale de 2 ans à compter de la date de notification du contrat. Le nombre de périodes de reconduction est fixé à 2. La durée de chaque période de reconduction est de 1 an. La durée maximale du contrat, toutes périodes confondues, est de 4 ans",2
services,"Conseil, plan media et achat d'espaces pour les campagnes media de la CNAV",Le présent marché a pour objet : • la réalisation de prestations de conseil en achats média ; • la réalisation de plan-média ; • l'achat d'espaces publicitaires dans le cadre d'un accord-cadre pluriannuel mono attributaire à bons de commande.,6
supplies,Fourniture d'émulsions pour la réalisation d'enduits superficiels sur le réseau routier départemental de Meurthe-et-Moselle,"Le marché sera exécuté selon la technique d'achat de l'accord-cadre à bons de commande mono-attributaire, avec un montant maximum de 1 200 000 euro(s) HT sur la durée initiale de l'accord-cadre conformément aux dispositions des articles L2125-1 1°, R. 2162-1 à R. 2162-6, R. 2162-13 et R. 2162-14 du Code de la commande publique. Les montants seront identiques pour chaque période de reconduction. Le marché est conclu pour une durée initiale de 12 mois, pouvant donner lieu jusqu'à 3 reconductions d'une durée de 12 mois chacune. Le présent marché sera conclu à compter du 8 septembre 2025 pour une période initiale d'un (1) an, sous réserve de sa notification. Les prestations seront rémunérées par application aux quantités réellement exécutées des prix unitaires, révisables, fixés dans le bordereau des prix unitaires. Une autre partie des prestations seront rémunérées par un listing de prix sur catalogue pour les besoins ponctuels et exceptionnels de l'acheteur, ajustables par semestre, après rabais consenti par l'attributaire. Les prix seront révisables ou ajustables selon les modalités fixées par le Cahier des Clauses Administratives Particulières (CCAP). Le présent marché pourra donner lieu au versement d'une avance et d'un acompte versé mensuellement. Cette consultation comporte un critère de jugement des offres « Impact environnemental » qui sera analysé et donnera lieu à l'attribution d'une note. Il s'agit ici pour le soumissionnaire de présenter les actions concrètes en lien avec l'objet du marché qu'il se propose de mettre en oeuvre dans le cadre de l'exécution des prestations. Le marché ne prévoit pas de clause sociale",2
supplies,Achat 1 mini-citadine essence ou hybride CH LES ANDELYS,Achat 1 mini-citadine essence ou hybride CH LES ANDELYS,6
supplies,Achat 4 citadine 5 portes Hybride non rechargeable ou rechargeable NHN,Achat 4 citadine 5 portes Hybride non rechargeable ou rechargeable NHN,0
supplies,Achat 1 minibus diesel ou hybride 9 places pour transport de personnes et TPMR NHN,Achat 1 minibus diesel ou hybride 9 places pour transport de personnes et TPMR NHN,5
supplies,Achat 1 véhicule SUV essence ou hybride non rechargeable CHAG PACY,Achat 1 véhicule SUV essence ou hybride non rechargeable CHAG PACY,6
services,Marché de prestation de services relatif aux prestations de consultant du travail et d'élaboration des paies pour le compte des entités françaises présentes en Italie et au Vatican,Le présent marché a pour objet l'organisation et la réalisation des services de gestion du personnel de droit local italien des entités françaises. Cela inclut la gestion des problématiques inhérentes au droit du travail ainsi que la gestion fiscale et comptable des paies pour tous les types de contrats de travail en droit italien en tenant compte des spécificités de chaque entité. Les prestations attendues seront effectuées conformément à la réglementation en vigueur en Italie.,1
services,LOT 1 Externalisation de la stérilisation basse température des DMR et prestations associées pour le compte du Centre Hospitalier Universitaire de Reims,LOT 1 Externalisation de la stérilisation basse température des DMR et prestations associées pour le compte du Centre Hospitalier Universitaire de Reims,0
services,LOT 2 Externalisation de la stérilisation par la vapeur d'eau et basse température des DMR et prestations associées pour le compte du Groupe Hospitalier Sud-Ardennes (GHSA),LOT 2 Externalisation de la stérilisation par la vapeur d'eau et basse température des DMR et prestations associées pour le compte du Groupe Hospitalier Sud-Ardennes (GHSA),0
services,Lot n° 2025-01-01-KA-A : Abattage/façonnage/cubage,Lot n° 2025-01-01-KA-A : Abattage/façonnage/cubage,4
services,Lot n° 2025-01-02-KA-A : Abattage/façonnage/cubage,Lot n° 2025-01-02-KA-A : Abattage/façonnage/cubage,4
services,Lot n° 2025-01-03-KA-D : Débardage,Lot n° 2025-01-03-KA-D : Débardage,4
services,Lot n° 2025-01-04-KA-D : Débardage,Lot n° 2025-01-04-KA-D : Débardage,4
services,Lot n° 2025-01-05-SI-AD : Abattage/façonnage/cubage/débardage/fabrication de stères,Lot n° 2025-01-05-SI-AD : Abattage/façonnage/cubage/débardage/fabrication de stères,4
services,Lot n° 2025-01-06-KI-A : Abattage/façonnage/cubage,Lot n° 2025-01-06-KI-A : Abattage/façonnage/cubage,4
services,Lot n° 2025-01-07-KI-D : Débardage,Lot n° 2025-01-07-KI-D : Débardage,4
services,"ACCOMPAGNEMENT DES ALLOCATAIRES DU RSA, VERS ET DANS L'EMPLOI, PAR LA MISE EN PLACE D'UNE METHODE NOVATRICE,  EN COMPLEMENTARITE AUX MODES D'INTERVENTION - DEPARTEMENT DE LOT-ET-GARONNE","L'accord-cadre est conclu pour une période de 4 ans à compter de la date de notification du contrat. Toutefois, le pouvoir adjudicateur se réserve la possibilité de dénoncer le marché trois mois avant la date anniversaire de ce dernier. L'accord-cadre sera exécuté par l'émission de bons de commande. Les prestations sont réglées par des prix unitaires. ACCOMPAGNEMENT DES ALLOCATAIRES DU RSA, VERS ET DANS L'EMPLOI, PAR LA MISE EN PLACE D'UNE METHODE NOVATRICE, EN COMPLEMENTARITE AUX MODES D'INTERVENTION SUR LE TERRITOIRE DU DEPARTEMENT DE LOT-ET-GARONNE",2
services,Lot 1 - Atelier Conseil - Départements 22 et 35,"Les informations spécifiques à ce lot sont précisées au point 5.1.6 à la rubrique ""informations complémentaires""",6
services,Lot 2 - Atelier Conseil - Départements 29 et 56,"Les informations spécifiques à ce lot sont précisées au point 5.1.6 à la rubrique ""informations complémentaires""",6
supplies,"Fourniture de pièces détachées adaptables, produits et accessoires pour véhicules VL","ourniture de pièces détachées adaptables, produits et accessoires pour véhicules VL",6
supplies,"Fourniture de pièces détachées adaptables, produits et accessoires pour véhicules PL","Fourniture de pièces détachées adaptables, produits et accessoires pour véhicules PL",6
services,ENTRETIEN DES STADES,&amp;lt;br/&amp;gt;L'accord-cadre sera exécuté par l'émission de bons de commande.&amp;lt;br/&amp;gt;Les prestations sont réglées par des prix unitaires.&amp;lt;br/&amp;gt;Les montants estimatifs sont indicatifs et comprennent la totalité des périodes de reconduction.&amp;lt;br/&amp;gt;&amp;lt;br/&amp;gt;,2
supplies,Petit équipement et matériels d'entrainement,Petit équipement et matériels d'entrainement,6
services,Lot 1 : Essais et contrôles de travaux - UT OUEST,Lot 1 : Essais et contrôles de travaux - UT OUEST,6
services,Essais et contrôles de travaux - UT SUD,Essais et contrôles de travaux - UT SUD,1
services,Essais et contrôles de travaux - UT EST,Essais et contrôles de travaux - UT EST,6
supplies,"Aménagement de véhicules de liaison ""chef de groupe""",Se référer aux documents de la consultation,1
supplies,Acquisition de véhicules logistiques,Se référer aux documents de la consultation,1
supplies,Acquisition de véhicules légers de secours médical,Se référer aux documents de la consultation.,1
supplies,Acquisition de véhicules d'interventions diverses / balisage,Se référer aux documents de la consultation.,1
supplies,"Fourniture, mise en oeuvre et maintenance d'installations de voiles d'ombrage sur l'espace public  pour le compte du groupement de commandes Nantes Métropole et Ville de Nantes","La présente consultation a trait à la fourniture, la mise en oeuvre et la maintenance d'installations de voiles d'ombrage pour le compte de Nantes Métropole et de la Ville de Nantes. Il s'agira ainsi de déployer de manière saisonnière sur l'espace public des voiles d'ombrage pour répondre aux enjeux d'adaptation aux fortes chaleurs comprenant la réalisation d'une étude préalable à l'installation et la mise en oeuvre adaptées à chaque site choisi par la maîtrise d'ouvrage, comprenant notamment la pose et dépose saisonnière ainsi que l'entretien et l'hivernage par le titulaire.",5
services,"Convention de participation pour la mise en oeuvre d'une couverture de Complémentaire Santé au profit des agents des collectivités territoriales et établissements publics affiliés et non affiliés au Centre de Gestion du Lot, ainsi que ses propres agents","La présente consultation a pour objet la souscription de contrat d'assurance à adhésion facultative portant sur la Complémentaire Santé des agents des collectivités territoriales et des établissements publics du Lot ainsi que les agents du CDG 46. Elle est soumise aux dispositions du décret n°2011-1474 du 08 novembre 2011, de l'Ordonnance N° 2021-175 du 17 février 2021, du décret N° 2022-581 du 20 avril 2022, du Code de la Fonction Publique Territoriale et sera attribuée après mise en concurrence conformément aux dispositions du Code de la Commande Publique",1
supplies,Fourniture de papier blanc 80gr labellisé non recyclé et recyclé A4/A3,"Ce lot comprend la fourniture de papier pour imprimantes laser et jet d’encre, format A4 et A3 en 80gr non recyclé et recyclé. Le papier doit être de label de certification PEFC ou FSC et ECOLABEL.",0
supplies,Fourniture papier blanc 90gr labellisé laser non recyclé pour l'édition numérique,"Ce lot comprend la fourniture de papier en vue de la fabrication des ouvrages d’édition, soit un papier blanc de qualité supérieure pour moteur d’impression numérique : format 25 x 33 cm en 90 g/m2 en ramette de 500 feuilles. Le papier doit être de label de certification PEFC ou FSC et ECOLABEL ou équivalent. Le candidat est alerté sur le fait que le sens des fibres doit être impérativement sur le petit côté (25 cm). Prévoir 8 poses par feuille de 70x102cm afin que le sens des fibres du 25x33cm soit conforme à notre processus de fabrication ainsi qu'un empaquetage filmé par 500 feuilles.",4
supplies,Fourniture de papiers spécifiques labellisés non recyclés et recyclés hors lots 1 et 2,"Ce lot est destiné à couvrir les besoins l’Université ne relevant pas du lot 1 et 2. Les principaux papiers utilisés par l’Université sont ceux qui sont recensés dans le bordereau des prix prévu au lot 3 du marché public : papier blanc couché mat, grammages de 115 à 350 gr/m2 en 45 x 64 cm; papier blanc offset tous grammages de 90 à 300 gr/m2 en 45 x 64 cm et recyclé, tous grammages de 115 à 250 gr/m2 en 45 x 64 cm; papier couleur (pastel, vif et intense) pour copieur numérique de 80gr/m2 et 160gr/m2 formats A3; papier couleur offset (pastel et vif) pour offset de 80g/m2, 240g/m2, formats 45 x 64 cm et 70 x 100 cm; papier brouillon format A4 et A3 en 80gr/m2, 4 couleurs pastel (bleu, jaune, vert, rose). papier blanc offset, couché mat, en 150gr/m2 et 300gr/m2 en format bannière 33x90cm; papier blanc « création » en 250gr/m2 en 72 x 102 cm; Le papier non recyclé doit être de label de certification PEFC ou FSC et ECOLABEL ou équivalent. Pour tout besoin non répertorié dans le bordereau des prix du lot 3, les prix sont arrêtés sur la base du catalogue remis par le titulaire lors du dépôt des offres avec le taux de remise consenti.",4
supplies,Fourniture de bobines papiers pour traceur jet d'encre et bobines vinyles pour plotter de découpe,"Ce lot comprend la fourniture de bobines de papier, toile et PVC en vue d’une impression jet d’encre avec une imprimante en grand format. Les principaux supports utilisés par l’université sont: - bobines de papier en 90gr, 180gr et 190gr en mat et satin; - bobines de toilé type « Canvas » en 340gr; - bobines bâche PVC en 450gr; - bobines adhésif imprimable vinyle en 225gr. L’ensemble des fournitures papier de ce lot devra proposer un label de certification PEFC ou FSC et ECOLABEL ou équivalent, excepté pour le toilé type « Canvas » la bâche et l’adhésif vinyle. Le titulaire est alerté sur le fait que la laize de l’ensemble des bobines liées au traceur sera de 1,067cm et que celle des bobines vinyles liées au plotter de découpe sera de 1,260 cm.",4
services,Dommages aux biens mobiliers et immobiliers,Dommages aux biens mobiliers et immobiliers,6
services,Responsabilité civile et risques annexes,Responsabilité civile et risques annexes,6
services,Flotte véhicules et risques annexes,Flotte véhicules et risques annexes,6
services,Protection sociale des Sapeurs-Pompiers Volontaires,Protection sociale des Sapeurs-Pompiers Volontaires,1
services,Risques statutaires des agents CNRACL et assimilés,Risques statutaires des agents CNRACL et assimilés,1
works,"Sécurisation des accès des deux sites de la 
CAISSE DE SECURITE SOCIALE DE MAYOTTE",L'objet du marché de sécurisation des accès des deux sites (KINGA et bâtiment C La ferme) provient des conclusions d'un audit sûreté. Une demande complémentaire de budget a été fléché pour renforcer le système de contrôle d'accès existant : des bâtiments A et B du siège de la CSSM à KAWENI et du local serveur situé dans le bâtiment C à la Ferme en petite Terre Mayotte,5
services,Projet d'aménagement Hauts de Jalday à Saint Jean de LUZ: Etude de programmation urbaine,"Le détail du phasage de l'opération figure au cahier des charges. Les prestations sont réglées par des prix forfaitaires. La présente consultation a pour objectif d'aboutir la définition d'une programmation urbaine sur le périmètre du projet d'intérêt communautaire dit Hauts de Jalday à Saint-Jean-de-Luz. La CAPB souhaite, à travers les missions confiées, définir les caractéristiques essentielles d'un projet ambitieux et contextualisé et en arrêter la stratégie de mise en oeuvre opérationnelle. Les critères retenus pour la sélection des candidatures sont pondérés de la manière suivante : 1-Capacité technique et professionnelle : 80% 2-Capacité économique et financière : 20%",1
works,Réhabilitation de 343 logements collectifs en conception réalisation,Prestations de conception et la réhabilitation 423 logements collectifs locatifs sociaux du Quartier des Bâtes à Dreux (223 logements) et celui de Tabelionne à Vernouillet (120 logements) en Conception-Réalisation,1
services,Prestations de nettoyage et d'entretien des locaux pour l'INSA Rouen Normandie,Prestations de nettoyage et d'entretien des locaux pour l'INSA Rouen Normandie,6
supplies,Fourniture de matériels électrotechniques et électromécaniques,Fourniture de matériels électrotechniques et électromécaniques,0
supplies,Fourniture de matériels d'automatismes,Fourniture de matériels d'automatismes,6
supplies,Fourniture de matériels de régulations,Fourniture de matériels de régulations,1
services,Maintenance des matériels de cuisine pour les établissements du GHT d'ARMOR,&amp;lt;br/&amp;gt;L'accord-cadre sera exécuté par l'émission de bons de commande.&amp;lt;br/&amp;gt;Les prestations sont réglées par des prix unitaires.&amp;lt;br/&amp;gt;Les montants estimatifs sont indicatifs et comprennent la totalité des périodes de reconduction.&amp;lt;br/&amp;gt;Les montants estimatifs sont indicatifs et comprennent les options (prestations similaires et reconductions).&amp;lt;br/&amp;gt;L'accord-Cadre se décompose en deux typologies de prestations distinctes :- Les prestations relevant de la &amp;quot;redevance forfaitaire annuelle&amp;quot; (prix global et forfaitaire) - Les prestations &amp;quot;hors redevance forfaitaire&amp;quot; (prix unitaires) &amp;lt;br/&amp;gt;,2
services,"Voirie, réseaux, foncier","Voirie, réseaux, foncier&amp;lt;br/&amp;gt;",3
services,"Bâtiments, ouvrages d'art","Bâtiments, ouvrages d'art&amp;lt;br/&amp;gt;",6
supplies,Fournitures de pièces détachées et fournitures électriques pour poids lourds,Fournitures de pièces détachées et fournitures électriques pour poids lourds,6
supplies,Pièces détachées pour la motoculture,Pièces détachées pour la motoculture,6
supplies,Composants hydrauliques et fabrication de flexibles hydrauliques,Composants hydrauliques et fabrication de flexibles hydrauliques,0
services,Prestation de location des motifs lumineux,Prestation de location des motifs lumineux,6
services,UNIQUE,GESTION DU SERVICE RESTAURATION ET FABRICATION SUR PLACE DE REPAS POUR LA RESTAURATION SCOLAIRE ET L’ACCUEIL DE LOISIRS SANS HEBERGEMENT (ALSH),5
services,Réservation de 25 places de crèche au Nord de Massy (soumis à la procédure sans publicité ni mise en concurrence conformément à l'article R2122-1 du code de la commande publique),Réservation de 25 places de crèche au Nord de Massy (soumis à la procédure sans publicité ni mise en concurrence conformément à l'article R2122-1 du code de la commande publique).&amp;lt;br/&amp;gt;,1
services,Réservation de 20 à 35 places de crèche au Nord de Massy Atlantis,Réservation de 20 à 35 places de crèche au Nord de Massy Atlantis&amp;lt;br/&amp;gt;,5
services,Réservation de 10 à 24 places de crèche au centre de Massy Atlantis,Réservation de 10 à 24 places de crèche au centre de Massy Atlantis&amp;lt;br/&amp;gt;,5
